sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
155,"Youngstown State Penguins",34,80.7,100,76,0.942,59.7,25.9,33.9,43.3,50.6,14.1,14.4,0.36,9.6,42.6,32.4,17.1,15.2,52.9,27.4,8.7,18.6,31.9,0.46
159,"Northwestern Wildcats",33,76.4,100,71.8,0.94,58.8,25.9,32.9,44,49.7,12.2,13.2,0.31,9.6,43.6,38.5,19.2,19.3,49.8,20.3,6.7,13.6,33.1,0.35
160,"Idaho Vandals",32,77.3,100,72.6,0.939,56.9,24.6,32.3,43.3,51.5,15.1,12.9,0.33,8.9,41.7,29.6,15.3,14.4,51.5,27.3,9.4,17.9,34.4,0.48
160,"Eastern Kentucky Colonels",32,82.4,100,77.4,0.939,65.5,27.5,38,42,49.3,11.1,11.2,0.26,8,41.8,37.7,18,19.7,47.7,27.8,9.6,18.3,34.3,0.43
162,"Niagara Purple Eagles",31,72.3,100,67.8,0.938,53.5,24,29.5,44.8,52.3,15.8,12.4,0.3,9.1,42,30.4,15.9,14.5,52.4,23.1,8.1,15.1,34.9,0.43
162,"Charlotte 49ers",33,75.1,100,70.5,0.938,55.2,23,32.2,41.7,48.1,12.3,16.8,0.42,12.3,43.3,32.3,16,16.3,49.6,22.8,7,15.8,30.6,0.41
162,"Saint Mary's Gaels",35,77.3,100,72.5,0.938,59.8,26.8,33,44.8,50.1,11.7,13.2,0.3,9.8,43.8,39.6,20.4,19.2,51.5,20.2,6.4,13.8,31.7,0.34
162,"Campbell Fighting Camels",33,73.6,100,69.1,0.938,56.2,24.5,31.7,43.6,50.3,13.2,12.6,0.29,9.7,42.5,33.1,17.1,16,51.6,23.2,7.5,15.7,32.2,0.41
162,"Robert Morris Colonials",35,81.9,100,76.7,0.938,59.6,26.7,32.9,44.8,51.1,14.8,14.8,0.37,10.2,43.6,37.7,19.1,18.6,50.6,21.9,7.6,14.3,34.6,0.37
167,"Texas State Bobcats",31,80,100,74.9,0.937,59,26.7,32.3,45.3,50.2,14.2,14.3,0.35,10.9,44,42.6,20.8,21.8,48.9,16.4,5.9,10.5,35.8,0.28
168,"Arizona State Sun Devils",33,78.6,100,73.5,0.935,57.5,25.2,32.3,43.8,51.3,14.8,14.1,0.35,10.6,42.6,33.2,16.5,16.6,49.8,24.3,8.6,15.7,35.5,0.42
168,"Sam Houston State Bearkats",32,79.9,100,74.7,0.935,58.2,25.7,32.5,44.1,51.5,15.4,13.9,0.35,10.5,42.1,35.7,17.1,18.6,47.9,22.5,8.6,13.9,38.1,0.39
168,"Elon Phoenix",33,77.9,100,72.8,0.935,56.4,24.7,31.7,43.8,50.7,15.1,14.7,0.37,10.3,42.8,32.5,16.8,15.7,51.8,23.9,7.8,16,32.9,0.42
168,"Queens University of Charlotte Royals",35,80.9,100,75.6,0.935,59.4,26.4,33,44.5,52.1,15,13.8,0.34,10,42.2,33.1,17.3,15.8,52.3,26.3,9.1,17.2,34.6,0.44
168,"Eastern Washington Eagles",32,76,100,71,0.935,56.1,25.5,30.6,45.5,51.5,15.7,12.4,0.3,8.6,42.9,35.3,18.8,16.6,53.1,20.8,6.8,14,32.5,0.37
173,"Eastern Michigan Eagles",31,78,100,72.9,0.934,57.2,25.9,31.4,45.2,51.8,15.6,13.2,0.32,8.4,42.8,35.3,18.3,16.9,52,22,7.5,14.4,34.4,0.38
173,"Middle Tennessee State Blue Raiders",34,81.7,100,76.4,0.934,61.6,27.6,33.9,44.9,51,13.2,13.6,0.33,10.4,43.3,37.5,20.1,17.4,53.7,24,7.5,16.5,31.2,0.39
175,"Loyola Marymount Lions",32,75.6,100,70.6,0.933,58.3,25.5,32.8,43.7,50.5,13,11.9,0.28,8.6,42.4,34.5,17.6,16.9,51,23.8,7.9,15.9,33.1,0.41
175,"DePaul Blue Demons",34,77.2,100,72,0.933,58.1,25.9,32.3,44.5,52.4,15.3,11.3,0.27,9,41.4,31.4,16.6,14.8,53,26.7,9.2,17.5,34.5,0.46
175,"Grand Canyon University Antelopes",34,83.2,100,77.6,0.933,58.6,26.5,32.1,45.3,50.5,15.1,16.5,0.43,11.7,44.6,38.7,20.4,18.3,52.6,19.9,6.2,13.8,31,0.34
