sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
28,"Columbia Lions",27,79.6,100,78,0.979,61.4,28.6,32.8,46.6,54.6,14.3,10.5,0.24,6.9,43.6,35.6,18.8,16.8,52.8,25.8,9.8,16,38.1,0.42
29,"Idaho Vandals",32,77.3,100,75.6,0.978,57.9,26.8,31.1,46.3,53.1,13.3,14.2,0.34,10.4,44.6,35,18.9,16.1,54,23,7.9,15,34.6,0.4
30,"Eastern Michigan Eagles",31,78.7,100,77,0.977,57.1,26.4,30.8,46.1,53.4,14.9,14.7,0.38,10.6,44.9,35,18.1,16.9,51.7,22.2,8.3,13.9,37.4,0.39
30,"Arkansas-(Pine Bluff) Golden Lions",31,85.4,100,83.4,0.977,61.9,28.8,33.1,46.6,54.2,14.5,15.2,0.39,11,44.7,34.1,19.4,14.7,56.8,27.8,9.5,18.4,34.1,0.45
32,"Pacific Tigers",33,77.3,100,75.5,0.976,57.6,25.7,31.8,44.7,51.6,13.2,14.7,0.36,9.8,44.3,34.6,17.8,16.8,51.3,23,8,15,34.7,0.4
32,"Chicago State Cougars",32,79.9,100,78,0.976,58.2,27.6,30.7,47.3,54.3,15.1,14.4,0.35,9.8,44.9,35.3,19.4,15.8,55.1,23,8.1,14.8,35.4,0.39
34,"Wright State Raiders",33,78.2,100,76.2,0.975,59.4,27.2,32.2,45.8,52.4,12.4,14.3,0.34,10.9,45.2,37.9,19.4,18.5,51.2,21.5,7.8,13.6,36.4,0.36
35,"Citadel Bulldogs",30,76.8,100,74.8,0.974,57.8,26.5,31.3,45.8,53.1,13.5,13.2,0.32,9.4,44,33.2,18,15.2,54.3,24.6,8.4,16.1,34.3,0.43
36,"Illinois State Redbirds",36,73.8,100,71.8,0.972,55.8,25.2,30.6,45.1,52.5,13.7,13.3,0.31,9.6,43.7,32.1,16.9,15.2,52.6,23.7,8.3,15.4,35,0.42
37,"Nebraska-Omaha Mavericks",35,76.7,100,74.5,0.971,57.2,25.5,31.7,44.5,52.3,12.8,14.8,0.36,10.4,44.1,31.6,16.6,15,52.5,25.5,8.9,16.7,34.7,0.45
37,"Prairie View A&M Panthers",32,84,100,81.6,0.971,59.2,29.4,29.8,49.7,55.5,16.9,14.9,0.38,10.6,45.8,39.8,22.5,17.2,56.7,19.4,6.9,12.5,35.4,0.33
39,"Washington Huskies",31,77.6,100,75.3,0.97,56.9,26.5,30.4,46.7,52.9,14.6,14.5,0.36,9.8,44.7,36.7,19.5,17.2,53.1,20.2,7.1,13.2,34.9,0.36
39,"Pepperdine Waves",34,78.6,100,76.3,0.97,61.3,28,33.3,45.7,52.4,12.9,11.4,0.26,8.6,43.7,37.5,19.8,17.7,52.7,23.8,8.2,15.5,34.7,0.39
41,"New Hampshire Wildcats",32,78.6,100,76.1,0.969,59.4,27.6,31.8,46.4,53.1,13.8,13.2,0.31,9.7,44.2,35.8,19.7,16.1,54.9,23.6,7.9,15.7,33.6,0.4
42,"Buffalo Bulls",31,83.5,100,80.8,0.968,63.1,29.5,33.5,46.8,53.5,14.3,12.6,0.29,9.3,44.1,40.1,21.2,18.9,52.9,23,8.4,14.6,36.3,0.36
43,"Gardner-Webb Runnin' Bulldogs",31,80.2,100,77.6,0.967,60.3,27.5,32.9,45.5,51.7,12.2,14.8,0.36,11,45,37.3,20,17.3,53.7,23,7.4,15.6,32.2,0.38
44,"Iowa Hawkeyes",33,81.3,100,78.6,0.966,61.7,29.2,32.5,47.3,53.9,14.5,11.7,0.28,8.8,44.3,37.7,21.1,16.6,56,24,8.1,15.9,33.7,0.39
44,"Western Michigan Broncos",32,78.5,100,75.8,0.966,58.3,27.1,31.2,46.5,53.7,14.6,13.7,0.33,9.6,43.8,34.6,18.8,15.8,54.2,23.7,8.4,15.3,35.4,0.41
44,"California Golden Bears",33,78.8,100,76.1,0.966,58.8,27.5,31.4,46.7,52.8,14.2,13.1,0.32,10.1,44.6,39.5,20.2,19.3,51.2,19.3,7.2,12.1,37.5,0.33
47,"North Dakota State Bison",32,77.1,100,74.4,0.965,62.1,27.3,34.7,44.1,50.7,10,12,0.26,9.3,43.7,37.8,19.1,18.7,50.6,24.3,8.2,16.1,33.8,0.39
47,"Indiana State Sycamores",32,81.9,100,79.1,0.965,60.7,27.9,32.8,45.9,52.5,13.8,14.5,0.35,10.2,44.3,37.6,19.8,17.8,52.7,23.1,8,15.1,34.8,0.38
47,"Rider Broncs",33,74,100,71.4,0.965,57.8,26.3,31.5,45.5,52.8,12.4,11.4,0.26,9.3,43.8,34,17.9,16.2,52.5,23.7,8.4,15.3,35.4,0.41
50,"Notre Dame Fighting Irish",33,74.8,100,72.2,0.964,58,25.9,32,44.7,51.2,12.6,13.1,0.29,9.9,43.5,34.4,18.4,16,53.6,23.6,7.5,16.1,31.9,0.41
51,"Eastern Washington Eagles",32,77.6,100,74.8,0.963,56,26.1,30,46.5,53.4,16,14.3,0.36,10.2,44.1,34.6,18.3,16.3,53,21.4,7.7,13.7,36.1,0.38
51,"South Dakota Coyotes",33,86.6,100,83.3,0.963,64.1,29.6,34.4,46.3,53,14.7,13.8,0.33,9.6,44.1,39.2,21,18.2,53.6,24.9,8.7,16.2,34.8,0.39
53,"Virginia Tech Hokies",32,75.8,100,72.9,0.961,57.2,25.9,31.3,45.2,51.9,13.8,13,0.31,9.1,43.9,33.7,18.3,15.5,54.1,23.5,7.6,15.8,32.5,0.41
54,"Niagara Purple Eagles",31,74,100,71,0.96,55.9,25.3,30.6,45.3,52.2,14.5,12.1,0.29,9.5,43.5,34.4,17.5,16.8,51.1,21.5,7.7,13.8,36,0.39
54,"UC Riverside Highlanders",34,77.2,100,74.1,0.96,58.1,26.1,31.9,45,51.8,13.6,13.2,0.32,9.6,43.6,35.6,18.2,17.4,51.2,22.5,7.9,14.6,35.2,0.39
56,"Delaware Fightin Blue Hens",36,80.9,100,77.6,0.959,61.3,27.9,33.4,45.5,51.5,13,13,0.32,9.4,44.5,40.3,20.5,19.8,50.9,21,7.4,13.6,35.1,0.34
56,"Boston College Eagles",31,78.6,100,75.4,0.959,58.5,26.5,32,45.2,51.5,13,14.7,0.36,10.7,44.5,37.6,19.2,18.4,51,20.9,7.3,13.6,34.9,0.36
56,"Austin Peay Governors",33,77.7,100,74.5,0.959,57,26.2,30.8,46,52.7,14.5,14,0.35,9.6,44.3,36.2,18.6,17.5,51.6,20.8,7.6,13.2,36.5,0.37
56,"Richmond Spiders",32,74.8,100,71.7,0.959,55.5,24,31.5,43.3,51.6,13.5,14.7,0.36,10.5,42.8,29,14.8,14.2,51.1,26.5,9.2,17.3,34.7,0.48
60,"Southern Illinois Salukis",32,77.4,100,74.2,0.958,58.6,26.2,32.4,44.7,51.7,12.9,13.7,0.33,10.3,43.4,35.4,18,17.4,50.8,23.2,8.2,15,35.4,0.4
60,"Butler Bulldogs",35,78.1,100,74.8,0.958,64.5,28.5,36,44.1,50,9.5,9.8,0.21,7.3,43.4,40.5,20.9,19.7,51.5,23.9,7.6,16.3,31.7,0.37
60,"Fordham Rams",33,81.4,100,77.9,0.958,59.1,27.6,31.5,46.6,52.2,14.3,15.3,0.38,10.1,45.3,40.1,21,19.1,52.4,19,6.6,12.5,34.6,0.32
60,"Coppin State Eagles",30,79.6,100,76.3,0.958,56.3,26.9,29.3,47.9,54.8,17.5,14,0.36,10.5,44.1,34.4,19.1,15.3,55.5,21.8,7.8,14,35.9,0.39
64,"Detroit Titans",32,78.8,100,75.4,0.957,58.7,25.2,33.5,42.9,50.6,12.5,15.5,0.38,10.5,43.6,31.3,16.2,15.1,51.8,27.5,9,18.4,32.9,0.47
64,"Holy Cross Crusaders",32,75,100,71.8,0.957,59.5,27.2,32.3,45.7,52,12.1,10.8,0.24,8,43.6,36.7,19.6,17.1,53.4,22.8,7.6,15.3,33.2,0.38
66,"Howard Bison",32,82.8,100,79.1,0.954,60.8,27.2,33.6,44.7,50.3,13.7,15.4,0.38,11.6,44.4,40.2,20.4,19.8,50.7,20.5,6.8,13.8,33,0.34
66,"Belmont Bruins",33,80.2,100,76.5,0.954,60.9,27.7,33.2,45.5,52.9,14.6,11.5,0.27,8.5,42.7,34.6,18.7,15.9,53.9,26.3,9.1,17.3,34.4,0.43
68,"North Carolina A&T Aggies",32,79.3,100,75.6,0.953,60.9,27.1,33.8,44.5,50.9,12.6,12.7,0.3,10,43.5,37.4,19.3,18.2,51.5,23.5,7.8,15.7,33.2,0.39
68,"Long Beach State 49ers",32,77.1,100,73.5,0.953,57.1,25.7,31.4,45,52.1,14.2,14,0.34,9.8,43.3,35.4,17.7,17.8,49.9,21.7,8.1,13.7,37.1,0.38
68,"Boston University Terriers",32,71.7,100,68.3,0.953,53.3,23.9,29.5,44.8,52.1,14.3,12.9,0.32,8.9,43.1,31.5,16,15.5,50.7,21.8,7.9,13.9,36.1,0.41
71,"Wofford Terriers",35,73.3,100,69.8,0.952,54.9,23.9,31,43.5,51.4,13.2,14.6,0.35,10.7,42.5,29.4,15.3,14.1,51.9,25.5,8.6,16.9,33.8,0.47
71,"Fairfield Stags",32,76.3,100,72.6,0.952,56.6,26.2,30.4,46.2,52.8,15.4,12.1,0.3,8.2,43.4,35.9,18.8,17.1,52.3,20.7,7.4,13.3,35.7,0.37
71,"Princeton Tigers",30,75.6,100,72,0.952,56,25.5,30.5,45.5,52.7,15.5,12.2,0.31,9.3,43,33.4,17.5,15.9,52.3,22.6,8,14.6,35.5,0.4
74,"Fresno State Bulldogs",32,84.1,100,80,0.951,64.9,29.9,35,46.1,53.3,14.8,9.8,0.23,7.1,42.5,36.9,20.4,16.5,55.4,28,9.5,18.6,33.8,0.43
74,"Utah Tech University Trailblazers",33,79.6,100,75.8,0.951,57.3,26.8,30.5,46.7,52,14.4,15.8,0.4,10.9,45.2,39.2,20.8,18.4,53,18.1,6,12.1,33.1,0.32
74,"Georgia State Panthers",33,81.7,100,77.7,0.951,65.1,28.5,36.7,43.7,50.4,10.8,11.1,0.26,7.8,43.1,38,19.7,18.3,51.8,27.1,8.8,18.3,32.4,0.42
74,"Western Carolina Catamounts",30,83,100,78.9,0.951,64,27.4,36.6,42.8,49.9,11.6,13.3,0.32,9.5,42.9,35.6,18.3,17.4,51.3,28.3,9.1,19.2,32.1,0.44
78,"Cal State Bakersfield Roadrunners",33,76.8,100,73,0.95,53.2,24.2,29.1,45.4,52.5,16.5,16.5,0.43,11.3,43.9,31.1,16.6,14.5,53.3,22.1,7.6,14.5,34.2,0.42
78,"Albany Great Danes",33,77.3,100,73.4,0.95,55.2,26.4,28.8,47.9,53.9,17,14,0.35,9.2,44,35.8,19.7,16.1,55,19.4,6.7,12.7,34.6,0.35
78,"Colgate Raiders",33,75.9,100,72.2,0.95,58.5,26.5,31.9,45.4,52.7,14,10.9,0.26,8,43,35.7,18,17.7,50.4,22.8,8.5,14.2,37.5,0.39
78,"Army Black Knights",33,78.7,100,74.8,0.95,60.4,27.5,32.9,45.6,52.6,13.8,11.3,0.26,8.4,43,35.2,19,16.2,54,25.2,8.5,16.7,33.8,0.42
82,"Missouri State Bears",32,74.6,100,70.8,0.949,53.3,24.8,28.5,46.5,53.3,16.3,14.8,0.37,10.5,43.7,32.2,17.5,14.8,54.2,21.1,7.3,13.8,34.6,0.4
82,"Northern Colorado Bears",35,76.4,100,72.5,0.949,57.4,25.8,31.5,45,51,13.7,14,0.33,9.9,43.8,37.4,18.9,18.5,50.6,20,6.9,13.1,34.5,0.35
82,"Sacramento State Hornets",32,73.7,100,69.9,0.949,53.3,23.8,29.5,44.7,52.7,15.4,14.5,0.36,9,42.8,28.7,15.3,13.4,53.2,24.6,8.6,16.1,34.8,0.46
82,"Wyoming Cowboys",32,74.8,100,71,0.949,54.5,24.2,30.3,44.3,50.6,13.2,16,0.4,10.2,44.5,34.1,17.4,16.7,51,20.4,6.8,13.6,33.2,0.37
82,"Seton Hall Pirates",32,73.5,100,69.7,0.949,50.7,23.4,27.3,46.2,54.3,17.9,14.8,0.4,10.1,43.3,28.1,15.2,12.9,54.1,22.6,8.2,14.4,36.4,0.45
82,"Cal Poly SLO Mustangs",35,86.4,100,81.9,0.949,63.7,29.3,34.5,45.9,52.7,15.4,12.6,0.31,8.9,43.4,38.4,20.6,17.8,53.7,25.3,8.6,16.7,34.1,0.4
88,"Rutgers Scarlet Knights",32,81.6,100,77.4,0.948,61.4,28.2,33.2,45.9,52.5,14.3,12.4,0.3,8.7,43.6,38.2,20.1,18.1,52.7,23.2,8.1,15.1,34.9,0.38
88,"Montana Grizzlies",35,77.1,100,73.1,0.948,58.7,26.7,32,45.5,51.2,13.8,12.4,0.3,9.6,43.8,38.3,20.1,18.2,52.5,20.5,6.7,13.8,32.5,0.35
90,"Northern Arizona Lumberjacks",34,75.2,100,71.2,0.947,56.8,25.5,31.3,44.9,51.7,13.7,13,0.31,9.3,43.1,35.3,17.9,17.4,50.6,21.5,7.6,13.9,35.6,0.38
90,"Virginia Cavaliers",32,70.5,100,66.7,0.947,54.5,24,30.6,44,50.5,12.9,12.4,0.28,9.4,42.6,33.3,16.8,16.6,50.3,21.2,7.2,14,33.9,0.39
90,"Ball State Cardinals",31,78.2,100,74,0.947,60.5,26.8,33.7,44.3,50.5,12.2,12.6,0.29,9.1,43.3,36.4,19.3,17.1,53,24.2,7.5,16.6,31.1,0.4
90,"Valparaiso University",34,77.9,100,73.7,0.947,57.8,26.5,31.3,45.8,52.1,14.4,13.8,0.33,10.2,43.8,36.7,19.3,17.4,52.5,21.1,7.2,13.9,34.3,0.37
90,"South Dakota State Jackrabbits",32,77.2,100,73,0.947,60.5,25.5,35,42.2,49.9,11.7,11.9,0.28,8.6,42,32.4,16.2,16.2,50,28.1,9.3,18.8,33.1,0.46
95,"Coastal Carolina Chanticleers",32,74.7,100,70.7,0.946,58.1,24.5,33.6,42.1,47.8,9,15.5,0.36,10.8,44,36.9,17.8,19.1,48.3,21.2,6.7,14.6,31.4,0.37
95,"USC Trojans",35,78.5,100,74.3,0.946,57.7,26.1,31.5,45.3,51.8,15.1,13.9,0.34,10,43.4,35.1,18.7,16.4,53.3,22.5,7.4,15.1,32.9,0.39
95,"Davidson Wildcats",33,74.6,100,70.5,0.946,57.5,25.7,31.8,44.6,51.7,13.3,12,0.27,9.4,42.6,34.1,17.5,16.5,51.5,23.4,8.1,15.3,34.7,0.41
95,"South Carolina Gamecocks",32,75.7,100,71.6,0.946,57.6,26.1,31.5,45.3,51.3,13.2,13,0.3,9.4,43.5,37.6,19.2,18.4,51,20,6.9,13.1,34.5,0.35
99,"Hawaii Warriors",31,75.4,100,71.1,0.944,58.1,25.2,32.8,43.4,49.1,11.3,13.9,0.32,9.7,43.8,38.9,18.6,20.3,47.8,19.1,6.6,12.5,34.6,0.33
99,"Bowling Green Falcons",31,78.5,100,74.1,0.944,58.8,26.4,32.4,45,52,14.9,11.6,0.28,7.9,42.7,33.7,18.2,15.6,53.8,25,8.3,16.8,33,0.43
101,"Kentucky Wildcats",36,81.8,100,77.1,0.943,63.3,27.5,35.8,43.5,50.1,12,13.2,0.3,9.9,42.9,35.5,19.1,16.3,54,27.8,8.4,19.4,30.1,0.44
102,"Providence Friars",32,76.4,100,72,0.942,59.1,25.5,33.5,43.2,49.4,11.5,13.9,0.32,9.9,42.8,37.3,18.2,19.1,48.9,21.8,7.3,14.5,33.6,0.37
102,"Loyola (MD) Greyhounds",31,75.2,100,70.8,0.942,56.3,26,30.4,46.1,52.2,15.2,12,0.29,8.9,43.3,36.4,19.1,17.3,52.4,19.9,6.9,13,34.5,0.35
102,"DePaul Blue Demons",34,78.9,100,74.3,0.942,60.7,27.5,33.3,45.2,51.3,13,12.2,0.28,8.7,43.1,39.4,20.1,19.3,51,21.3,7.4,14,34.5,0.35
102,"Cornell Big Red",29,82.1,100,77.3,0.942,62.4,28,34.4,44.9,51.4,13.3,12.5,0.3,9.5,43.4,38.2,19.8,18.4,51.9,24.2,8.2,16,33.8,0.39
102,"Temple Owls",32,82.4,100,77.6,0.942,61.6,27.3,34.3,44.3,50.4,12.7,14.6,0.36,10,44.2,39.3,19.8,19.5,50.5,22.3,7.5,14.8,33.5,0.36
107,"East Texas A&M Lions",31,79.3,100,74.6,0.941,56.7,26.6,30.1,46.9,53.3,16.4,14.3,0.36,10.9,43.9,37.1,19.3,17.8,52,19.6,7.3,12.3,37.2,0.35
107,"La Salle Explorers",33,79,100,74.3,0.941,60.1,27.1,33,45.1,51.8,14,12.4,0.29,9.1,42.5,35.1,18.9,16.2,53.9,24.9,8.1,16.8,32.6,0.42
109,"Monmouth Hawks",33,79.3,100,74.6,0.94,58.8,25.7,33.1,43.7,50.5,13.8,14.6,0.36,10.4,42.9,34.9,17.6,17.3,50.5,23.8,8,15.8,33.7,0.41
109,"Arizona State Sun Devils",33,80.6,100,75.8,0.94,61.5,27,34.5,43.9,50.5,13.4,12.4,0.3,8.9,42.8,36.8,18.9,17.9,51.4,24.7,8.1,16.6,32.8,0.4
109,"Louisiana-(Monroe) Warhawks",32,79.8,100,75,0.94,62.3,27.7,34.5,44.5,51.9,13.6,10.5,0.24,8.5,41.8,34,18.5,15.5,54.4,28.3,9.2,19,32.6,0.45
109,"Harvard Crimson",27,76.5,100,71.9,0.94,58.7,27,31.8,45.9,52.1,14.7,10.4,0.24,7.7,42.8,36.7,19.6,17.1,53.4,22,7.3,14.7,33.3,0.37
109,"N.J.I.T. Highlanders",31,77.2,100,72.6,0.94,58.3,25.7,32.6,44,49.3,11.4,15.8,0.38,11.4,44.5,38.3,19.5,18.7,51.1,20.1,6.1,13.9,30.5,0.34
109,"Florida Gulf Coast Eagles",34,74.1,100,69.6,0.94,57.7,24.4,33.3,42.2,49.8,11.6,12.3,0.29,9.1,42.2,32.7,15.6,17.1,47.7,24.9,8.7,16.2,35,0.43
109,"Sam Houston State Bearkats",32,80.7,100,75.8,0.94,60.2,26.6,33.6,44.2,51.6,14.4,12.9,0.32,8.8,42.4,35.1,17.8,17.3,50.6,25.1,8.9,16.2,35.4,0.42
116,"William & Mary Tribe",32,80.8,100,75.8,0.939,59.4,26.7,32.8,44.9,51.9,15,14,0.34,10,42.6,34.5,18.3,16.2,53,24.9,8.3,16.5,33.5,0.42
117,"Manhattan Jaspers",31,79.6,100,74.7,0.938,62.3,27.4,34.9,44,50.9,12.5,10.9,0.25,8.2,42.4,36.1,18.8,17.2,52.2,26.2,8.6,17.6,32.7,0.42
117,"Northern Illinois Huskies",31,81.4,100,76.4,0.938,58,25.6,32.4,44.2,51.1,14.6,16.7,0.42,10.7,43.2,35.8,17.5,18.3,48.9,22.2,8.1,14.1,36.5,0.38
117,"Longwood Lancers",32,78.8,100,73.9,0.938,55.5,26.3,29.2,47.4,54.4,17.6,14,0.36,9.4,43.3,31.8,18.5,13.3,58.2,23.7,7.8,15.9,32.9,0.43
117,"Idaho State Bengals",30,74.7,100,70,0.938,55.8,25.3,30.5,45.3,52.2,15.4,13,0.3,9.5,42,35.1,17.5,17.6,50,20.7,7.7,13,37.4,0.37
117,"St. Thomas (MN) Tommies",34,79.5,100,74.6,0.938,57.6,25.6,32,44.4,51.7,15.9,13.8,0.35,9.1,42.6,33.8,17.2,16.6,51,23.8,8.4,15.4,35.1,0.41
122,"Western Illinois Leathernecks",31,76.1,100,71.3,0.937,59.5,25.8,33.7,43.3,49.4,11.5,12.4,0.29,10.3,43.2,38.2,18.6,19.6,48.6,21.3,7.2,14.1,33.8,0.36
122,"Washington State Cougars",34,82.8,100,77.6,0.937,62.7,27.9,34.9,44.4,50.9,13.7,13,0.31,9.1,42.9,38.2,19.6,18.6,51.4,24.5,8.2,16.3,33.5,0.39
124,"Texas-(San Antonio) Roadrunners",31,81.7,100,76.5,0.936,56.3,25.9,30.4,46,52.8,17.7,15.4,0.41,11.4,43.6,34.6,18.2,16.4,52.7,21.7,7.7,14.1,35.3,0.39
124,"Radford Highlanders",33,74.7,100,69.9,0.936,55.4,23.9,31.5,43.1,50.1,13.9,14,0.35,10.1,42.6,33.3,16.2,17.2,48.5,22.1,7.7,14.3,35,0.4
124,"Morehead State Eagles",31,72.8,100,68.2,0.936,55.4,24.2,31.1,43.8,49.5,12.6,13.2,0.32,9.1,43.2,36.5,17.9,18.6,49,18.8,6.3,12.5,33.6,0.34
124,"Villanova Wildcats",36,72.7,100,68,0.936,55.5,23.9,31.6,43,50.9,13.1,12.6,0.3,8.7,41.7,29.9,15.1,14.8,50.5,25.6,8.8,16.8,34.2,0.46
124,"San Jose State Spartans",35,78.2,100,73.1,0.936,60.1,27.5,32.6,45.7,51.6,13.7,11.8,0.27,8.3,43.2,38.3,20.4,17.9,53.3,21.8,7.1,14.7,32.4,0.36
129,"Sacred Heart Pioneers",33,80.1,100,74.9,0.935,61.1,26.9,34.2,44,51.7,14.3,10.7,0.26,7.1,41.8,34.7,17.5,17.2,50.3,26.4,9.4,17,35.7,0.43
129,"Vanderbilt Commodores",33,79.4,100,74.2,0.935,56.1,25.6,30.5,45.7,52.5,17,14.6,0.38,11.2,43.1,34.9,17.9,17,51.3,21.2,7.7,13.5,36.3,0.38
129,"UMBC Retrievers",32,84.2,100,78.7,0.935,64.2,29.5,34.7,45.9,51.9,14.4,11.6,0.27,9.3,42.9,42,21.8,20.2,52,22.1,7.6,14.5,34.5,0.34
132,"Chattanooga Mocs",38,78.1,100,72.9,0.934,58.6,25.6,33.1,43.6,50.6,13.6,13.6,0.33,10.5,42.4,34.5,17.3,17.2,50.2,24.2,8.2,15.9,34.1,0.41
132,"Ohio Bobcats",32,81.5,100,76.1,0.934,59.8,27.3,32.6,45.5,51.6,14.9,13.6,0.34,9.5,43.4,40.3,20,20.3,49.7,19.5,7.2,12.3,37,0.33
132,"Purdue Boilermakers",36,75.2,100,70.2,0.934,56.3,25.4,30.9,45.1,51.7,15.1,12.4,0.3,9.4,42.5,32.2,17.9,14.3,55.6,24.1,7.5,16.6,31,0.43
135,"Siena Saints",32,77.1,100,71.9,0.933,57,26,31,45.6,51.5,15.2,12.6,0.31,8.8,43.3,37.5,19.4,18.1,51.7,19.6,6.7,12.9,34,0.34
135,"UCF Knights",37,85.8,100,80.1,0.933,64.6,28.9,35.7,44.7,50.8,14.4,12.8,0.3,8.9,42.9,40.4,21,19.4,52,24.2,7.9,16.3,32.5,0.37
135,"Oakland Golden Grizzlies",34,76.6,100,71.5,0.933,58.7,25.6,33.1,43.6,51,13.6,11.3,0.27,8.4,41.8,34.4,17,17.4,49.5,24.4,8.6,15.7,35.4,0.41
135,"Alcorn State Braves",32,76.9,100,71.7,0.933,56.9,25.2,31.7,44.3,51.8,15.1,12.8,0.31,9.2,42,31.5,16.7,14.8,52.9,25.3,8.5,16.8,33.5,0.45
139,"UAB Blazers",37,81.5,100,76,0.932,62.6,27.8,34.8,44.5,50.4,13.3,12,0.28,9.8,42.8,40.8,20.4,20.5,49.9,21.8,7.5,14.3,34.3,0.35
139,"North Carolina State Wolfpack",31,75.1,100,70,0.932,55.4,25.1,30.3,45.4,51,15.3,13.3,0.32,9.8,42.8,37.2,18.9,18.3,50.9,18.2,6.2,12,34.2,0.33
141,"Stonehill College Skyhawks",32,74.8,100,69.7,0.931,56.4,25,31.3,44.4,50.2,13.9,13.2,0.31,9.9,42.8,37.5,18.5,19,49.3,18.8,6.5,12.3,34.7,0.33
141,"Tulsa Golden Hurricane",33,79.1,100,73.6,0.931,60.6,26.5,34.1,43.8,49.5,12,13.8,0.32,10.6,43.1,39.8,19.6,20.2,49.3,20.8,6.9,13.9,33.2,0.34
143,"Dayton Flyers",34,75.9,100,70.6,0.93,57.1,24.9,32.2,43.7,50.6,14.4,12.4,0.3,9.2,41.9,32.8,17,15.9,51.7,24.3,8,16.3,32.8,0.43
143,"Binghamton Bearcats",32,76.7,100,71.3,0.93,59.2,25.3,33.9,42.7,48.8,11.4,13.6,0.32,10.3,42.8,35.9,18,17.9,50.2,23.3,7.2,16,31,0.39
145,"Oklahoma State Cowboys",35,81.4,100,75.6,0.929,58.1,26.3,31.7,45.4,52.9,17.2,13.9,0.35,8.8,42.1,33.3,17.6,15.7,52.9,24.7,8.7,16,35.3,0.43
145,"Old Dominion Monarchs",35,76.8,100,71.4,0.929,57.9,25.4,32.5,43.9,49.8,12.7,14,0.34,10.2,43.3,37.2,18.6,18.6,50,20.7,6.8,13.9,33,0.36
145,"Mercyhurst Lakers",31,74.8,100,69.5,0.929,52.3,24.2,28.2,46.2,53,18,14.4,0.37,11,42.5,31.8,17,14.8,53.4,20.5,7.2,13.4,34.9,0.39
145,"Lehigh Mountain Hawks",30,76.3,100,70.9,0.929,57.4,25.4,32,44.2,49.8,13.3,13.4,0.33,9.8,43.4,36.7,18.9,17.8,51.5,20.7,6.5,14.3,31.2,0.36
145,"Florida Atlantic Owls",34,81.4,100,75.6,0.929,61.3,26.4,34.9,43.1,49.7,13.2,13.6,0.33,9.6,42.5,39.4,18.4,21.1,46.5,21.9,8.1,13.8,36.9,0.36
150,"Navy Midshipmen",34,75.2,100,69.9,0.928,55.6,24.6,31,44.3,51.3,15,13.3,0.32,9.1,42.2,32.8,16.8,16,51.3,22.8,7.8,15,34.3,0.41
150,"East Carolina Pirates",33,79.2,100,73.5,0.928,59.3,26.1,33.2,44,50.6,14.2,12.6,0.31,9.3,42.6,38.5,18.2,20.3,47.2,20.8,7.9,12.9,38,0.35
150,"Minnesota Golden Gophers",32,74.6,100,69.3,0.928,56.1,24.7,31.4,44,49.9,13.6,13.7,0.32,9.5,42.6,36.6,18.1,18.5,49.4,19.5,6.6,12.8,34,0.35
150,"Stanford Cardinal",35,75.8,100,70.3,0.928,55.8,24.8,31,44.4,49.9,14.5,14.5,0.35,11.1,43.3,36.9,18.6,18.3,50.5,18.9,6.2,12.8,32.6,0.34
150,"Eastern Kentucky Colonels",32,80.7,100,74.9,0.928,59.8,27.1,32.7,45.3,51.8,15.3,12.7,0.31,9.8,42.9,38,19.4,18.6,51.1,21.9,7.7,14.2,35.3,0.37
150,"Nevada Wolf Pack",33,73.2,100,67.9,0.928,52.6,22.7,29.9,43.1,51,15.5,14.7,0.37,10.4,42.2,29.3,14.4,14.9,49,23.3,8.3,15,35.7,0.44
150,"Weber State Wildcats",34,76.4,100,70.9,0.928,56.6,24.5,32.1,43.3,50.6,13.8,13.7,0.34,9.3,42,32.9,16.2,16.7,49.2,23.7,8.3,15.4,35.1,0.42
150,"North Carolina-Asheville Bulldogs",32,82.1,100,76.2,0.928,58.6,26.2,32.4,44.7,51.3,15.3,15.5,0.4,11.3,43.2,36.1,18.5,17.6,51.3,22.5,7.7,14.8,34.1,0.38
158,"Oklahoma Sooners",34,80.2,100,74.4,0.927,58.5,25.9,32.6,44.3,50.7,15.1,14.2,0.35,10.5,42.8,33.9,18.5,15.3,54.7,24.6,7.4,17.2,30.1,0.42
158,"Louisiana-(Lafayette) Ragin Cajuns",33,78.5,100,72.7,0.927,55,24.6,30.4,44.8,50.6,16.1,16.3,0.43,12.7,43.4,34.2,18.2,16,53.3,20.8,6.4,14.4,30.7,0.38
158,"Oregon State Beavers",33,74.3,100,68.9,0.927,56.2,24.2,32,43.1,50.2,13.7,12.9,0.31,10.1,41.9,33.1,16.3,16.8,49.2,23.1,7.9,15.2,34.3,0.41
161,"Presbyterian Blue Hose",33,76.1,100,70.5,0.926,55.2,24.9,30.2,45.2,50.9,15.3,15.3,0.37,11.2,43.1,35.9,18.6,17.3,51.9,19.2,6.3,12.9,32.8,0.35
