sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
314,"Drake Bulldogs",35,67.4,100,58.4,0.867,46.9,20.5,26.5,43.6,49.5,19.1,13.3,0.35,9.4,40.4,28.6,15,13.7,52.3,18.3,5.5,12.8,30.1,0.39
314,"Cincinnati Bearcats",35,75.9,100,65.8,0.867,57,24.4,32.6,42.8,48.5,16.5,10.1,0.24,7.5,39.7,37.3,17.9,19.4,48,19.7,6.5,13.2,33,0.35
316,"Michigan State Spartans",37,77.1,100,66.8,0.866,58.5,23.6,34.8,40.4,46.1,13.4,13.1,0.31,9.7,39.9,34.8,17,17.8,48.8,23.7,6.6,17.1,28.1,0.41
316,"Kansas Jayhawks",34,79.9,100,69.2,0.866,61.7,24.6,37.1,39.9,46.1,12.9,11.7,0.27,9.3,39.3,36.6,16.9,19.6,46.3,25.1,7.6,17.5,30.4,0.41
318,"Michigan Wolverines",37,82.4,100,71.2,0.865,63.4,25.3,38.1,39.9,45.8,12.9,11.9,0.28,8.4,39.6,38.6,17.7,20.9,45.8,24.8,7.6,17.2,30.5,0.39
319,"Tennessee State Tigers",33,84.4,100,72.9,0.864,61.5,25.4,36.1,41.4,47.1,14.6,14.4,0.36,10.3,40.7,39.3,18.4,21,46.7,22.2,7.1,15.1,31.9,0.36
320,"North Texas Mean Green",36,69.5,100,60,0.863,50.1,20.5,29.6,40.9,46.8,16.5,13.5,0.35,10.7,39.7,31.1,14.6,16.4,47,19.1,5.9,13.2,30.9,0.38
320,"Lindenwood University Lions",33,82.2,100,71,0.863,59.5,25.2,34.4,42.3,48.4,16.8,12.9,0.32,9.8,39.7,37.2,17.8,19.4,47.9,22.3,7.3,15,32.8,0.38
320,"George Washington Revolutionaries",34,79.1,100,68.3,0.863,59.1,24.9,34.2,42.1,48.2,16.1,10.5,0.26,7.8,39.4,35.9,17.6,18.3,49.1,23.2,7.3,15.9,31.3,0.39
320,"New Mexico Lobos",35,81.6,100,70.4,0.863,58.4,24.9,33.5,42.6,49,17.2,13.5,0.34,10,39.9,35.9,17.4,18.6,48.3,22.4,7.5,14.9,33.4,0.38
324,"Utah Valley Wolverines",34,79,100,68.1,0.862,59.2,24.4,34.8,41.2,46.8,14.5,12.3,0.3,9.1,40.1,39.5,17.8,21.7,45,19.7,6.6,13.1,33.6,0.33
324,"Nicholls State Colonels",33,80.6,100,69.5,0.862,59.2,24.4,34.8,41.2,46.7,15,13.5,0.34,9.5,40.3,37.2,17.9,19.2,48.2,22,6.5,15.5,29.4,0.37
326,"Texas A&M-(Corpus Christi) Islanders",34,78.1,100,67.2,0.861,55.1,23.1,32.1,41.8,48.2,16.4,14.4,0.38,10.4,40.5,34.3,16.1,18.2,46.9,20.9,7,13.9,33.5,0.38
327,"Clemson Tigers",34,75.2,100,64.7,0.86,56,23.7,32.3,42.3,48.3,16.1,11.5,0.28,8.5,39.5,34.8,17,17.8,48.9,21.2,6.7,14.5,31.5,0.38
327,"Cleveland State Vikings",36,75.9,100,65.3,0.86,52.4,22.3,30.2,42.5,49.2,18.5,14.1,0.37,9.5,39.9,31.8,15.2,16.6,47.8,20.6,7.1,13.6,34.3,0.39
329,"Maine Black Bears",34,76.5,100,65.7,0.859,55.7,24,31.7,43,48.9,17.9,11.2,0.28,8.6,39.4,35.5,17.4,18.1,49,20.2,6.6,13.6,32.6,0.36
329,"Wake Forest Demon Deacons",32,78.6,100,67.5,0.859,57.4,23,34.4,40.1,47.1,16.3,12,0.31,8.9,38.9,31.2,15,16.2,48.1,26.3,8,18.2,30.6,0.46
331,"New Mexico State Aggies",31,75.9,100,65.1,0.858,55.6,21.7,33.9,39.1,45.2,13.1,15.3,0.38,9.9,39.8,31.7,14.9,16.8,46.9,23.9,6.9,17.1,28.7,0.43
331,"Southeast Missouri State Redhawks",32,78.7,100,67.5,0.858,55.4,23.2,32.3,41.8,46.3,16.4,15.8,0.4,11.4,40.8,37.3,18.1,19.2,48.6,18.1,5,13.1,27.8,0.33
331,"Iowa State Cyclones",35,79.5,100,68.2,0.858,57.7,24.1,33.7,41.7,48.5,18,11.3,0.28,8.4,38.5,34,16.2,17.8,47.6,23.7,7.9,15.8,33.3,0.41
334,"Grambling State Tigers",34,78.2,100,66.9,0.856,58.9,23.9,35,40.5,46.3,14.9,11.8,0.29,8,39.3,38.4,17,21.4,44.3,20.4,6.8,13.6,33.4,0.35
335,"SIU Edwardsville Cougars",34,77.7,100,66.4,0.854,57.8,23.1,34.7,39.9,46.3,14.9,12.6,0.31,9.1,39.2,35.2,15.7,19.5,44.7,22.6,7.4,15.2,32.6,0.39
335,"Arkansas State Red Wolves",36,81.9,100,69.9,0.854,60.1,24.2,35.9,40.2,45.4,13.7,14.4,0.36,10.1,40.7,39.4,17.9,21.4,45.6,20.7,6.2,14.5,30,0.34
337,"Florida Gators",40,81.7,100,69.6,0.851,61.6,24.4,37.2,39.6,45.1,13.5,13.3,0.32,9.9,39.3,38.5,17.7,20.8,45.9,23.1,6.7,16.4,29.1,0.37
338,"Hofstra Pride",33,75.5,100,64.2,0.85,55.6,21.3,34.3,38.3,45,13.6,14.7,0.36,10.4,39,33.4,13.8,19.6,41.4,22.2,7.5,14.8,33.6,0.4
339,"Saint Mary's Gaels",35,71.7,100,60.8,0.848,55.3,22.7,32.6,41,46,14.2,10.4,0.24,8.1,39.3,37.7,17.2,20.5,45.7,17.6,5.5,12.1,31.1,0.32
339,"West Virginia Mountaineers",32,76.2,100,64.6,0.848,55.7,22.7,33,40.8,46.2,16,12.8,0.32,9,39.3,35.5,16.7,18.8,47.1,20.2,6,14.2,29.7,0.36
341,"Appalachian State Mountaineers",31,75.2,100,63.6,0.846,60.2,23.5,36.7,39.1,44.8,12.1,9.7,0.22,7.5,38.1,36.6,16.6,20,45.3,23.6,6.9,16.7,29.4,0.39
342,"Tennessee Volunteers",38,74.8,100,63.2,0.845,57.3,22,35.2,38.5,44.8,13.8,11.5,0.28,8.7,38,31.7,14.7,17,46.4,25.5,7.3,18.2,28.6,0.45
343,"Texas Southern Tigers",32,85,100,71.8,0.844,61.8,24.7,37.2,39.9,46.7,15.8,13.1,0.33,10.2,38.6,36.4,16.3,20.2,44.6,25.4,8.4,17,33.1,0.41
343,"Southern University Jaguars",32,80.2,100,67.7,0.844,54.8,22.5,32.3,41.1,47.5,18.5,15.2,0.41,11.1,39.1,32.9,15.5,17.4,47.1,21.8,7,14.8,32.2,0.4
343,"Stephen F. Austin Lumberjacks",31,80.7,100,68.1,0.844,58.1,24.1,34,41.5,47.6,17,12.5,0.32,9.6,39.2,36.2,17,19.2,46.9,21.9,7.1,14.8,32.5,0.38
346,"South Alabama Jaguars",32,76.3,100,64.4,0.843,57.5,21.9,35.6,38,47.8,16.5,9.6,0.23,7.2,35.6,23.3,10.6,12.7,45.6,34.2,11.3,22.9,32.9,0.59
347,"McNeese State Cowboys",35,76.3,100,64.2,0.841,55.1,22,33.1,39.9,47.3,17.7,11.9,0.3,8.2,37.6,29.7,13.9,15.8,46.8,25.5,8.1,17.3,32,0.46
348,"Lamar Cardinals",33,77.9,100,65.4,0.84,57,23,34,40.4,46.3,15.3,13,0.33,10.6,39.4,35.5,16.3,19.2,45.9,21.5,6.7,14.8,31.3,0.38
349,"Maryland Terrapins",36,78.7,100,66,0.838,58.8,24.2,34.6,41.2,46.7,16.5,10.7,0.26,7.7,38.4,37.5,17.8,19.7,47.4,21.3,6.4,14.8,30.3,0.36
350,"Grand Canyon University Antelopes",34,82.6,100,69,0.836,59.5,24.6,35,41.3,46.8,17.2,12.4,0.31,8.6,38.9,38.9,18,20.9,46.2,20.6,6.6,14,31.9,0.35
350,"South Carolina State Bulldogs",33,82.7,100,69.2,0.836,55.1,23.5,31.7,42.6,47.5,19.7,15.9,0.44,10.9,40.2,36.8,18,18.7,49.1,18.4,5.4,12.9,29.5,0.33
